Nama,Judul,Abstrak,Tahun
"Syafiiqah, Arya",Analisis Kepuasan Pengguna Sistem Informasi Manajemen Daerah (SIMDA) Menggunakan Metode Kano dan Eucs di BPKAD Provinsi Sumatera Selatan.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik Analisis Kepuasan Pengguna Sistem Informasi Manajemen Daerah (SIMDA) Menggunakan Metode Kano dan Eucs di BPKAD Provinsi Sumatera Selatan. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan Metode Kano dan Eucs di BPKAD Provinsi Sumatera Selatan. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
"Syalasani, Rifqa Aulia",IMPLEMENTASI TECHNOLOGY ACCEPTANCE MODEL (TAM) PADA PENGGUNA E-OFFICE DI OKU.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik IMPLEMENTASI TECHNOLOGY ACCEPTANCE MODEL (TAM) PADA PENGGUNA E-OFFICE DI OKU. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"Syawaluddin, M. Agus",PENERAPAN MODEL AUTOREGRESSIVE INTEGRATED MOVING AVARAGE (ARIMA) DALAM MEMPREDIKSI PENJUALAN PRODUK DI HANJANI COFFEE AND SPACE.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik PENERAPAN MODEL AUTOREGRESSIVE INTEGRATED MOVING AVARAGE (ARIMA) DALAM MEMPREDIKSI PENJUALAN PRODUK DI HANJANI COFFEE AND SPACE. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknik data mining dan machine learning untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan AUTOREGRESSIVE INTEGRATED MOVING AVARAGE. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"sayfuddin, sayfuddin",Prediksi Jumlah Produksi Minyak Sawit Mentah (Crude Palm Oil) Menggunakan Metode Regresi Linear Sederhana.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik Prediksi Jumlah Produksi Minyak Sawit Mentah (Crude Palm Oil) Menggunakan Metode Regresi Linear Sederhana. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknik data mining dan machine learning untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan Metode Regresi Linear Sederhana. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"TAMIFIANTARY, RATNA",Penerapan Metode Rational Unified Process Terhadap Sistem Informasi Manajemen Pondok Pesantren Rubath Al Muhibbien.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik Penerapan Metode Rational Unified Process Terhadap Sistem Informasi Manajemen Pondok Pesantren Rubath Al Muhibbien. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan Rational Unified Process Terhadap Sistem Informasi Manajemen Pondok Pesantren Rubath Al Muhibbien. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"TOMARA, RIEZA EKA",SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN OBJEK WISATA DI KOTA PALEMBANG DENGAN MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN OBJEK WISATA DI KOTA PALEMBANG DENGAN MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING (SAW. Urgensi dari penelitian ini didasarkan pada pentingnya sistem pendukung keputusan (SPK) untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE SIMPLE ADDITIVE WEIGHTING. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Tajrian, Riska",Implementasi Algoritma FP-Growth Untuk Menentukan Pola Pembelian Konsumen Pada Data Transaksi Penjualan PT Ligno Specialty Chemicals.,"Penelitian yang dilakukan pada tahun 2023 ini berfokus pada topik Implementasi Algoritma FP-Growth Untuk Menentukan Pola Pembelian Konsumen Pada Data Transaksi Penjualan PT Ligno Specialty Chemicals. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan FP-Growth Untuk Menentukan Pola Pembelian Konsumen Pada Data Transaksi Penjualan PT Ligno Specialty Chemicals. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2023
"Tansir, Irvan",SISTEM PENDUKUNG KEPUTUSAN PENERIMAAN GURU MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING PADA SMK IT MUTIARA AZZAM PALEMBANG.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik SISTEM PENDUKUNG KEPUTUSAN PENERIMAAN GURU MENGGUNAKAN METODE SIMPLE ADDITIVE WEIGHTING PADA SMK IT MUTIARA AZZAM PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya sistem pendukung keputusan (SPK) untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE SIMPLE ADDITIVE WEIGHTING PADA SMK IT MUTIARA AZZAM PALEMBANG. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Teni, Safitri",Analisis kualitas sistem informasi akademik menggunakan ISO/IEC 25010 (Studi kasus : STIK Bina Husada Palembang).,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik Analisis kualitas sistem informasi akademik menggunakan ISO/IEC 25010 (Studi kasus : STIK Bina Husada Palembang). Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan ISO/IEC 25010. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Teriyasmur, RM Imam",SISTEM PENDUKUNG KEPUTUSAN PENENTUAN PRIORITAS UNTUK PEMBERIAN TUNAS USAHA SYARIAH PADA BNI  SYARIAH CABANG PALEMBANG DENGAN METODE AHP  (ANALITYCAL HIERARCHY PROCESS) BERBASIS WEB.,"Penelitian yang dilakukan pada tahun 2014 ini berfokus pada topik SISTEM PENDUKUNG KEPUTUSAN PENENTUAN PRIORITAS UNTUK PEMBERIAN TUNAS USAHA SYARIAH PADA BNI  SYARIAH CABANG PALEMBANG DENGAN METODE AHP  (ANALITYCAL HIERARCHY PROCESS) BERBASIS WEB. Urgensi dari penelitian ini didasarkan pada pentingnya sistem pendukung keputusan (SPK) untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan AHP. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2014
"Testiana, Gusmelia",Penerapan Algoritma K-Nearest Neighbor untuk Menentukan Kelompok Uang Kuliah Tunggal Mahasiswa Baru UIN Raden Fatah Palembang.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik Penerapan Algoritma K-Nearest Neighbor untuk Menentukan Kelompok Uang Kuliah Tunggal Mahasiswa Baru UIN Raden Fatah Palembang. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan K-Nearest Neighbor untuk Menentukan Kelompok Uang Kuliah Tunggal Mahasiswa Baru UIN Raden Fatah Palembang. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Trie Auia, Maudy",ANALISIS SENTIMEN APLIKASI LIVIN BY MANDIRI  PADA ULASAN PENGGUNA DI GOOGLE PLAYSTORE  MENGGUNAKAN ALGORITMA NAÏVE BAIYES.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik ANALISIS SENTIMEN APLIKASI LIVIN BY MANDIRI  PADA ULASAN PENGGUNA DI GOOGLE PLAYSTORE  MENGGUNAKAN ALGORITMA NAÏVE BAIYES. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan ALGORITMA NA. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"ULFA, MARLIANA",SISTEM INFORMASI MANAJEMEN HUBUNGAN  PELANGGAN PADA LAUNDRY CLEANKLIN BERBASIS  ANDROID.,"Penelitian yang dilakukan pada tahun 2018 ini berfokus pada topik SISTEM INFORMASI MANAJEMEN HUBUNGAN  PELANGGAN PADA LAUNDRY CLEANKLIN BERBASIS  ANDROID. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2018
"UTAMI, ANGGI SEFTI",ANALISIS PENGARUH KEPUASAN PENGGUNA SISTEM INFORMASI AKADEMIK UNIVERSITAS MUHAMMADIYAHPALEMBANG MENGGUNAKAN MODEL DELONE AND MCLEAN.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik ANALISIS PENGARUH KEPUASAN PENGGUNA SISTEM INFORMASI AKADEMIK UNIVERSITAS MUHAMMADIYAHPALEMBANG MENGGUNAKAN MODEL DELONE AND MCLEAN. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan MODEL DELONE AND MCLEAN. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"UTAMI, ENY LAROSA PUTRI",IMPLEMENTASI METODE RAPID APPLICATION DEVELOPMENT (RAD) DALAM MEMBANGUN SISTEM INFORMASI INVENTORY PADA TB. CARADA ELEKTRIK.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik IMPLEMENTASI METODE RAPID APPLICATION DEVELOPMENT (RAD) DALAM MEMBANGUN SISTEM INFORMASI INVENTORY PADA TB. CARADA ELEKTRIK. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan RAPID APPLICATION DEVELOPMENT. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"utami, Intan",ANALISIS KEPUASAN PENGGUNA SIMPEG KLHK PADA BPDAS MUSI MENGGUNAKAN METODE END USER COMPUTING SATISFACTION (EUCS).,"Penelitian yang dilakukan pada tahun 2024 ini berfokus pada topik ANALISIS KEPUASAN PENGGUNA SIMPEG KLHK PADA BPDAS MUSI MENGGUNAKAN METODE END USER COMPUTING SATISFACTION (EUCS). Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan METODE END USER COMPUTING SATISFACTION. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2024
"VERNANDA, VERNANDA",SALES INFORMATION SYSTEMS IN WEB BASED CAHAYA SUNNAH STORES USING THE RATIONAL UNIFIED PROCESS METHOD.,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik SALES INFORMATION SYSTEMS IN WEB BASED CAHAYA SUNNAH STORES USING THE RATIONAL UNIFIED PROCESS METHOD. Urgensi dari penelitian ini didasarkan pada pentingnya penerapan teknologi informasi dan komunikasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"Verliana, Verliana",ANALISIS KELAYAKAN INVESTASI SISTEM INFORMASI SIDIKTI DENGAN METODE INFORMATION ECONOMICS PADA UNIVERSITAS SJAKHYAKIRTI PALEMBANG.,"Penelitian yang dilakukan pada tahun 2021 ini berfokus pada topik ANALISIS KELAYAKAN INVESTASI SISTEM INFORMASI SIDIKTI DENGAN METODE INFORMATION ECONOMICS PADA UNIVERSITAS SJAKHYAKIRTI PALEMBANG. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan INFORMATION ECONOMICS PADA UNIVERSITAS SJAKHYAKIRTI PALEMBANG. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2021
"Virgiawan, Adisty Kharisma",ANALISIS MANAJEMEN RISIKO TEKNOLOGI INFORMASI DENGAN METODE FAILURE MODE AND EFFECT ANALYSIS PADA PT KENCANA INTI PERKASA.,"Penelitian yang dilakukan pada tahun 2025 ini berfokus pada topik ANALISIS MANAJEMEN RISIKO TEKNOLOGI INFORMASI DENGAN METODE FAILURE MODE AND EFFECT ANALYSIS PADA PT KENCANA INTI PERKASA. Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan FAILURE MODE AND EFFECT ANALYSIS PADA PT KENCANA INTI PERKASA. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2025
"WALADA, RINA",ANALISIS KUALITAS LAYANAN WEBSITE HOTEL SWARNA DWIPA PALEMBANG MENGGUNAKAN WEBQUAL 4.0 DAN IMPORTANCE PERFORMANCE ANALYSIS (IPA).,"Penelitian yang dilakukan pada tahun 2022 ini berfokus pada topik ANALISIS KUALITAS LAYANAN WEBSITE HOTEL SWARNA DWIPA PALEMBANG MENGGUNAKAN WEBQUAL 4.0 DAN IMPORTANCE PERFORMANCE ANALYSIS (IPA). Urgensi dari penelitian ini didasarkan pada pentingnya analisis dan evaluasi mendalam untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang dengan memanfaatkan pendekatan WEBQUAL 4.0 DAN IMPORTANCE PERFORMANCE ANALYSIS. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2022
"WAROKA, LIA",SISTEM INFORMASI MANAJEMEN PONDOK PESANTREN AN NUR MUSI BANYUASIN BERBASIS WEB.,"Penelitian yang dilakukan pada tahun 2018 ini berfokus pada topik SISTEM INFORMASI MANAJEMEN PONDOK PESANTREN AN NUR MUSI BANYUASIN BERBASIS WEB. Urgensi dari penelitian ini didasarkan pada pentingnya pengembangan sistem informasi untuk meningkatkan efisiensi, akurasi, dan performa tata kelola operasional di instansi terkait. Dalam pelaksanaannya, metodologi yang diterapkan dirancang melalui metode perancangan yang terstruktur dan sistematis. Proses ini mencakup beberapa tahapan utama, mulai dari analisis kebutuhan fungsional dan non-fungsional, pengumpulan data primer dan sekunder, perancangan arsitektur sistem, hingga pengujian akhir fungsionalitas menggunakan pengujian Black Box Testing guna memastikan kinerja sistem bebas dari kendala teknis. Hasil dari penelitian ini diharapkan dapat memberikan kontribusi nyata berupa sebuah implementasi sistem atau dokumen rekomendasi analitis yang solutif. Melalui luaran penelitian ini, pihak manajemen dan civitas terkait dapat memanfaatkannya sebagai instrumen pendukung keputusan untuk mengoptimalkan pelayanan publik maupun internal organisasi secara berkelanjutan.",2018
